JobID,NumberNodes,NumberLayers,TimeOptimize,TimeSample,MaxCutTime,TotalTime,MaxCutPartition,Target,Optimizer
27520562,2,1,0.21571922302246094,0.0005922317504882812,0.002549886703491211,0.22379565238952637,01,qpp-cpu,COBYLA
27520562,2,2,0.211897611618042,0.0008625984191894531,0.0026617050170898438,0.22010111808776855,01,qpp-cpu,COBYLA
27520562,2,3,0.21300029754638672,0.0009260177612304688,0.0027587413787841797,0.2214338779449463,01,qpp-cpu,COBYLA
27520562,3,1,0.2146744728088379,0.0009160041809082031,0.0026903152465820312,0.2231888771057129,001,qpp-cpu,COBYLA
27520562,3,2,0.25395989418029785,0.0010013580322265625,0.002665281295776367,0.2625560760498047,001,qpp-cpu,COBYLA
27520562,3,3,0.2251429557800293,0.0010619163513183594,0.0024971961975097656,0.23335599899291992,001,qpp-cpu,COBYLA
27520562,4,1,0.24719810485839844,0.0010771751403808594,0.003498554229736328,0.2563169002532959,0001,qpp-cpu,COBYLA
27520562,4,2,0.24174809455871582,0.0008916854858398438,0.0027115345001220703,0.25008654594421387,0001,qpp-cpu,COBYLA
27520562,4,3,0.24765658378601074,0.001268148422241211,0.002614736557006836,0.25616955757141113,0001,qpp-cpu,COBYLA
27520562,5,1,0.2325434684753418,0.0011551380157470703,0.0027179718017578125,0.24115943908691406,11111,qpp-cpu,COBYLA
27520562,5,2,0.2512021064758301,0.0014395713806152344,0.002615213394165039,0.2602269649505615,11111,qpp-cpu,COBYLA
27520562,5,3,0.27973294258117676,0.0015921592712402344,0.002573728561401367,0.2888460159301758,11111,qpp-cpu,COBYLA
27520562,6,1,0.2540764808654785,0.001340627670288086,0.0027589797973632812,0.2634701728820801,010001,qpp-cpu,COBYLA
27520562,6,2,0.28914666175842285,0.001688241958618164,0.0027647018432617188,0.29818105697631836,010001,qpp-cpu,COBYLA
27520562,6,3,0.3398551940917969,0.0020945072174072266,0.002794504165649414,0.3493225574493408,010001,qpp-cpu,COBYLA
27520562,7,1,0.28432774543762207,0.0017669200897216797,0.003914594650268555,0.29509496688842773,1010001,qpp-cpu,COBYLA
27520562,7,2,0.41317272186279297,0.002342700958251953,0.004015207290649414,0.4241769313812256,1010001,qpp-cpu,COBYLA
27520562,7,3,0.39643073081970215,0.00269317626953125,0.003721952438354492,0.40760159492492676,1010001,qpp-cpu,COBYLA
27520562,8,1,0.3646359443664551,0.0026230812072753906,0.007470607757568359,0.37991952896118164,11010001,qpp-cpu,COBYLA
27520562,8,2,0.46947169303894043,0.003740549087524414,0.00729060173034668,0.48531079292297363,11010001,qpp-cpu,COBYLA
27520562,8,3,0.6017305850982666,0.004938602447509766,0.007286787033081055,0.6190392971038818,11010001,qpp-cpu,COBYLA
27520562,9,1,0.4948146343231201,0.004263401031494141,0.016520023345947266,0.5202641487121582,110110000,qpp-cpu,COBYLA
27520562,9,2,0.812739372253418,0.006860256195068359,0.017050981521606445,0.8418471813201904,110110000,qpp-cpu,COBYLA
27520562,9,3,1.0264410972595215,0.009020805358886719,0.016223907470703125,1.057112693786621,110110000,qpp-cpu,COBYLA
27520562,10,1,0.8727798461914062,0.008016347885131836,0.030521392822265625,0.9165430068969727,0111010001,qpp-cpu,COBYLA
27520562,10,2,1.4422292709350586,0.013674020767211914,0.03063488006591797,1.491605520248413,0111010001,qpp-cpu,COBYLA
27520562,10,3,1.9942924976348877,0.018902301788330078,0.030127763748168945,2.048466444015503,0111010001,qpp-cpu,COBYLA
27520562,11,1,1.7542366981506348,0.016604900360107422,0.04667472839355469,1.8225152492523193,10111010001,qpp-cpu,COBYLA
27520562,11,2,3.1996259689331055,0.03138136863708496,0.04673171043395996,3.282881021499634,10111010001,qpp-cpu,COBYLA
27520562,11,3,4.528381824493408,0.044725656509399414,0.04406261444091797,4.622488975524902,10111010001,qpp-cpu,COBYLA
27520562,12,1,4.005030632019043,0.040602922439575195,0.05781412124633789,4.109143018722534,010111010001,qpp-cpu,COBYLA
27520562,12,2,7.415921449661255,0.07291460037231445,0.05437302589416504,7.548424482345581,010111010001,qpp-cpu,COBYLA
27520562,12,3,10.96063494682312,0.10948634147644043,0.05726051330566406,11.133088111877441,010111010001,qpp-cpu,COBYLA
27520562,13,1,9.402732372283936,0.09277725219726562,0.06371688842773438,9.565078735351562,1110110110101,qpp-cpu,COBYLA
27520562,13,2,17.628320455551147,0.1743454933166504,0.06014108657836914,17.868278980255127,1110110110101,qpp-cpu,COBYLA
27520562,13,3,26.226653337478638,0.2596011161804199,0.06354427337646484,26.555166482925415,1110110110101,qpp-cpu,COBYLA
27520562,14,1,22.389671802520752,0.22248554229736328,0.06689715385437012,22.684728622436523,11100110100000,qpp-cpu,COBYLA
27520562,14,2,42.88942337036133,0.4312140941619873,0.07228636741638184,43.3983941078186,11100110100000,qpp-cpu,COBYLA
27520562,14,3,62.682172536849976,0.6234328746795654,0.06567597389221191,63.37660765647888,11100110100000,qpp-cpu,COBYLA
27520562,15,1,53.380743980407715,0.5265884399414062,0.06632447242736816,53.97913074493408,111001110111000,qpp-cpu,COBYLA
27520562,15,2,101.68557620048523,1.0061473846435547,0.0653839111328125,102.76286029815674,111001110111000,qpp-cpu,COBYLA
27520562,15,3,150.6466031074524,1.494699239730835,0.06793761253356934,152.21508765220642,111001110111000,qpp-cpu,COBYLA
27520562,16,1,127.7496919631958,1.2636048793792725,0.11740517616271973,129.1368007659912,1111001101101111,qpp-cpu,COBYLA
27520562,16,2,245.51015877723694,2.438086748123169,0.11350059509277344,248.06772875785828,1111001101101111,qpp-cpu,COBYLA
27520562,16,3,362.78439688682556,3.608536958694458,0.1092379093170166,366.50794649124146,1111001101101111,qpp-cpu,COBYLA
27520562,17,1,304.2697138786316,3.0109927654266357,0.11790180206298828,307.4050853252411,10101111011011001,qpp-cpu,COBYLA
27520562,17,2,579.1451513767242,5.817682266235352,0.11228823661804199,585.080837726593,10101111011011001,qpp-cpu,COBYLA
27520562,17,3,863.252179145813,8.720727920532227,0.11656022071838379,872.0952754020691,10101111011011001,qpp-cpu,COBYLA
27520562,18,1,728.7428035736084,7.200147390365601,0.11703801155090332,736.0668170452118,111100111011101011,qpp-cpu,COBYLA
27520562,18,2,1413.3281743526459,13.977494239807129,0.11974763870239258,1427.4315493106842,111100111011101011,qpp-cpu,COBYLA
27520562,18,3,2097.489730834961,21.1822566986084,0.11883783340454102,2118.797248363495,111100111011101011,qpp-cpu,COBYLA
27520562,19,1,1712.128436088562,17.14286184310913,0.11986756324768066,1729.3978304862976,1111111101000110111,qpp-cpu,COBYLA
27520562,19,2,3297.4965908527374,32.433372020721436,0.11596488952636719,3330.0523476600647,1111111101000110111,qpp-cpu,COBYLA
27520562,19,3,4842.097784042358,48.15036582946777,0.12110590934753418,4890.375533103943,1111111101000110111,qpp-cpu,COBYLA
